,class,number_of_exclamation_mark,number_of_question_mark,number_of_full_stop_mark,number_of_hateful_words,number_of_neutral_words,number_of_interjections,number_of_all_caps_words,number_of_quotation_marks,number_of_words,number_of_laughing_expressions,hate_speech_unigrams,hate_speech_bigrams,hate_speech_trigrams,unigrams,bigrams,trigrams,pattern_count,patterns,sentiment,topic
0,1,3,0,4,1,3,0,1,0,23,0,6,0,0,"[('trash',), ('not',), ('rt',), ('man',), ('hous',), ('woman',)]",[],[],6,"{('PRP', 'VBP'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.4563,0
1,1,0,0,1,0,3,0,1,0,21,0,2,0,0,"[('rt',), ('have',)]",[],[],7,"{('NNS', 'VBP'), ('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.5542,0
2,0,0,0,1,1,0,0,0,0,23,0,9,1,0,"[('trash',), ('lot',), ('white',), ('racist',), ('not',), ('bad',), ('teabagg',), ('away',), ('state',)]","[('white', 'trash')]",[],7,"{('NN', 'IN'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.8176,1
3,1,0,1,0,1,1,0,0,0,11,0,1,0,0,"[('not',)]",[],[],3,"{('NNS', 'VBP'), ('IN', 'NN'), ('NN', 'NN')}",0.2755,0
4,1,0,0,4,1,5,0,3,0,20,0,4,0,0,"[('race',), ('call',), ('live',), ('watch',)]",[],[],4,"{('NN', 'IN'), ('JJ', 'NN'), ('NN', 'NN'), ('IN', 'NN')}",0.0,0
5,1,0,0,2,1,5,0,1,0,28,0,4,0,0,"[('gay',), ('yes',), ('world',), ('coupl',)]",[],[],7,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.541,1
6,1,0,1,0,0,0,0,0,0,10,0,1,0,0,"[('walk',)]",[],[],0,set(),0.2732,1
7,1,0,0,1,1,2,0,0,0,22,0,3,0,0,"[('tell',), ('hate',), ('truth',)]",[],[],5,"{('NN', 'IN'), ('NN', 'CC'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.25,1
8,1,0,0,0,0,0,0,2,0,12,0,1,0,0,"[('head',)]",[],[],3,"{('NN', 'IN'), ('IN', 'DT'), ('DT', 'NN')}",0.0,0
9,1,0,1,3,0,3,0,0,0,24,0,2,0,0,"[('look',), ('feed',)]",[],[],8,"{('NNS', 'VBP'), ('NNS', 'IN'), ('NN', 'IN'), ('NN', 'CC'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.3025,0
10,1,0,0,0,1,1,0,0,0,9,0,1,0,0,"[('happi',)]",[],[],3,"{('JJ', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",0.5719,0
11,0,0,0,0,0,1,0,0,0,6,0,2,1,1,"[('white',), ('trash',)]","[('white', 'trash')]","[('california', 'white', 'trash')]",1,"{('JJ', 'NN')}",0.0,1
12,0,0,0,0,0,2,0,0,0,10,0,3,1,1,"[('white',), ('trash',), ('move',)]","[('white', 'trash')]","[('california', 'white', 'trash')]",2,"{('JJ', 'NN'), ('IN', 'NN')}",0.0,1
13,1,0,1,0,0,1,0,0,0,5,0,1,0,0,"[('ghetto',)]",[],[],0,set(),0.0,1
14,0,0,0,1,0,3,0,1,0,11,0,3,0,0,"[('trash',), ('allow',), ('live',)]",[],[],2,"{('NNS', 'VBP'), ('TO', 'VB')}",0.0,1
15,1,0,0,0,0,4,0,3,0,19,0,1,0,0,"[('walk',)]",[],[],5,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NN', 'IN'), ('JJ', 'NN'), ('DT', 'JJ')}",-0.4939,1
16,1,0,0,1,0,4,0,1,0,12,0,1,0,0,"[('man',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN')}",-0.1531,0
17,0,0,0,1,0,0,0,0,0,5,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],2,"{('NNS', 'VBP'), ('JJ', 'NN')}",0.0,1
18,0,0,0,1,0,2,0,0,0,11,0,5,1,0,"[('trash',), ('outsid',), ('peopl',), ('white',), ('live',)]","[('white', 'trash')]",[],3,"{('DT', 'JJ'), ('JJ', 'NN'), ('IN', 'NN')}",0.0,1
19,1,0,0,1,1,3,0,0,0,14,0,1,0,0,"[('citi',)]",[],[],1,"{('NN', 'NN')}",0.0,1
20,1,0,0,2,1,3,0,2,0,19,0,7,1,0,"[('thought',), ('be',), ('bad',), ('great',), ('not',), ('got',), ('time',)]","[('be', 'not')]",[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.6486,1
21,1,0,0,1,0,1,0,1,0,21,0,4,0,0,"[('eat',), ('die',), ('teabagg',), ('great',)]",[],[],9,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NNS', 'IN'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.743,1
22,1,0,0,0,0,2,0,0,0,18,0,5,0,0,"[('earth',), ('boy',), ('grow',), ('monkey',), ('old',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('DT', 'NN')}",0.0,1
23,1,0,0,0,0,0,0,0,0,8,0,2,0,0,"[('be',), ('wors',)]",[],[],3,"{('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",-0.1027,0
24,1,0,2,1,0,2,0,1,0,14,0,1,0,0,"[('have',)]",[],[],6,"{('NN', 'IN'), ('TO', 'VB'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('NNS', 'IN')}",0.0,0
25,1,0,0,0,0,2,0,2,0,19,0,4,0,0,"[('ask',), ('said',), ('thank',), ('want',)]",[],[],2,"{('NN', 'NN'), ('DT', 'NN')}",0.1779,0
26,1,0,0,1,1,2,0,4,0,14,0,1,0,0,"[('free',)]",[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN')}",0.3182,1
27,1,7,0,17,1,2,0,0,0,16,0,3,0,0,"[('america',), ('thought',), ('not',)]",[],[],3,"{('NNS', 'VBP'), ('NN', 'IN'), ('IN', 'NN')}",0.6083,0
28,1,0,0,23,1,3,0,3,0,19,0,4,0,0,"[('hate',), ('sound',), ('wors',), ('lot',)]",[],[],4,"{('IN', 'DT'), ('JJ', 'NN'), ('TO', 'VB'), ('DT', 'NN')}",-0.4767,0
29,1,1,0,2,2,3,0,2,0,21,0,2,0,0,"[('rt',), ('happi',)]",[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN')}",0.6114,0
30,1,3,0,1,1,3,0,0,0,19,0,2,0,0,"[('free',), ('open',)]",[],[],8,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NNS', 'IN'), ('NN', 'IN'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.6341,0
31,1,0,0,1,0,5,0,2,0,24,0,2,0,0,"[('said',), ('place',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('IN', 'NN'), ('DT', 'NN')}",0.0,0
32,1,2,0,0,0,1,0,1,0,9,0,1,0,0,"[('nation',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.8652,0
33,1,1,0,1,0,2,0,1,0,23,0,1,0,0,"[('way',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('NN', 'NN')}",0.4003,1
34,1,0,1,11,1,1,0,0,0,13,0,2,0,0,"[('right',), ('lot',)]",[],[],5,"{('NNS', 'VBP'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'NN')}",0.0,1
35,0,0,0,0,0,1,0,0,0,6,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],1,"{('JJ', 'NN')}",0.0,0
36,1,0,0,0,0,3,0,1,0,22,0,1,0,0,"[('hand',)]",[],[],5,"{('JJ', 'NNS'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'JJ')}",-0.7845,0
37,0,0,0,1,5,1,0,2,0,11,0,2,0,0,"[('faggot',), ('kill',)]",[],[],1,"{('JJ', 'NNS')}",-0.5574,1
38,0,0,0,0,0,1,0,0,0,6,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],1,"{('JJ', 'NN')}",0.0,0
39,1,0,1,3,0,1,0,2,0,14,1,3,0,0,"[('go',), ('lol',), ('be',)]",[],[],3,"{('JJ', 'NN'), ('TO', 'VB'), ('NN', 'NN')}",0.2263,0
40,1,0,0,2,0,0,0,1,0,15,0,0,0,0,[],[],[],5,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN')}",0.0,1
41,1,0,0,1,0,1,0,0,0,13,0,2,0,0,"[('white',), ('great',)]",[],[],3,"{('NN', 'IN'), ('IN', 'NN'), ('NN', 'NN')}",0.4767,1
42,1,0,0,1,0,0,0,0,0,13,0,0,0,0,[],[],[],4,"{('NN', 'IN'), ('JJ', 'NN'), ('NN', 'NN'), ('IN', 'NN')}",-0.25,1
43,1,0,0,1,0,1,0,1,0,17,0,2,0,0,"[('beat',), ('big',)]",[],[],7,"{('NN', 'CC'), ('NN', 'IN'), ('JJ', 'NN'), ('DT', 'JJ'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.0,1
44,1,0,0,3,0,3,0,0,0,20,0,0,0,0,[],[],[],4,"{('IN', 'NN'), ('NN', 'NN'), ('NNS', 'IN'), ('JJ', 'NNS')}",0.0,0
45,1,1,0,0,0,1,0,1,0,16,0,2,0,0,"[('way',), ('continu',)]",[],[],8,"{('NNS', 'VBP'), ('JJ', 'NNS'), ('NN', 'IN'), ('JJ', 'NN'), ('TO', 'VB'), ('IN', 'DT'), ('NN', 'NN'), ('DT', 'NN')}",0.6114,1
46,1,0,0,1,1,2,0,1,0,19,0,2,0,0,"[('real',), ('read',)]",[],[],3,"{('NNS', 'VBP'), ('NN', 'NN'), ('JJ', 'NNS')}",-0.4588,0
47,0,0,0,0,1,1,0,0,0,12,0,2,0,0,"[('da',), ('nig',)]",[],[],2,"{('NN', 'CC'), ('IN', 'NN')}",0.0,1
48,1,2,0,0,0,4,0,1,0,22,1,2,0,0,"[('year',), ('lol',)]",[],[],5,"{('NN', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('NNS', 'IN')}",0.7752,0
49,1,2,0,3,0,3,0,0,0,15,0,0,0,0,[],[],[],6,"{('NNS', 'VBP'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ'), ('DT', 'NN')}",0.7707,1
50,1,0,0,4,0,2,0,0,0,26,0,5,0,0,"[('wish',), ('let',), ('caus',), ('not',), ('guy',)]",[],[],5,"{('NNS', 'VBP'), ('PRP', 'VBP'), ('NN', 'CC'), ('NN', 'NN'), ('DT', 'NN')}",-0.0772,0
51,1,0,0,0,1,2,0,0,0,4,0,0,0,0,[],[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.0,0
52,1,0,0,1,0,0,0,0,0,4,0,1,0,0,"[('trash',)]",[],[],1,"{('IN', 'NN')}",0.0,0
53,0,0,0,0,5,3,0,1,0,16,0,6,0,0,"[('nigger',), ('wanna',), ('fuck',), ('day',), ('rt',), ('tweet',)]",[],[],4,"{('NN', 'CC'), ('JJ', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.5423,0
54,0,0,6,3,2,0,0,0,0,9,0,4,0,0,"[('black',), ('asian',), ('retard',), ('gay',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",-0.7941,0
55,0,0,0,0,0,1,0,0,0,6,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],1,"{('JJ', 'NN')}",0.0,0
56,1,0,0,0,1,3,0,2,0,20,0,5,0,0,"[('found',), ('year',), ('report',), ('rt',), ('dead',)]",[],[],6,"{('JJ', 'NNS'), ('NNS', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.6486,0
57,1,0,0,1,0,2,0,1,0,11,0,1,0,0,"[('love',)]",[],[],2,"{('NNS', 'VBP'), ('NN', 'NN')}",0.6369,0
58,1,1,0,0,0,0,0,1,0,4,0,1,0,0,"[('nicca',)]",[],[],1,"{('NNS', 'IN')}",0.0,1
59,1,0,0,0,2,1,0,2,0,10,0,3,0,0,"[('truth',), ('rt',), ('brown',)]",[],[],5,"{('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'JJ'), ('NN', 'NN')}",0.0,0
60,0,0,0,0,5,1,0,0,0,11,0,4,1,0,"[('bitch',), ('play',), ('dat',), ('nigga',)]","[('nigga', 'bitch')]",[],3,"{('NN', 'IN'), ('TO', 'VB'), ('JJ', 'NNS')}",-0.5994,1
61,0,0,0,3,12,0,0,1,0,18,0,2,0,2,"[('spic',), ('nigga',)]",[],"[('nigga', 'nigga', 'nigga'), ('spic', 'spic', 'spic')]",4,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.0,1
62,0,0,0,1,0,1,0,0,0,6,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],1,"{('JJ', 'NN')}",0.0,0
63,1,0,0,1,0,1,0,3,0,16,0,2,0,0,"[('crimin',), ('open',)]",[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('JJ', 'NNS')}",-0.5267,1
64,0,0,0,1,0,1,0,0,0,6,0,2,1,0,"[('white',), ('trash',)]","[('white', 'trash')]",[],1,"{('JJ', 'NN')}",0.0,0
65,1,0,0,0,0,0,0,0,0,4,0,0,0,0,[],[],[],1,"{('NN', 'NN')}",0.0,0
66,1,2,0,1,0,3,0,0,0,20,0,1,0,0,"[('red',)]",[],[],5,"{('NNS', 'VBP'), ('NN', 'CC'), ('JJ', 'NN'), ('DT', 'JJ'), ('NN', 'NN')}",-0.7891,0
67,1,0,0,0,0,1,0,0,0,1,0,0,0,0,[],[],[],0,set(),0.0,1
68,1,0,0,1,0,1,0,1,0,7,0,2,0,0,"[('not',), ('want',)]",[],[],2,"{('NNS', 'VBP'), ('NN', 'NN')}",-0.0572,1
69,1,0,0,2,0,1,0,0,0,10,0,2,0,0,"[('play',), ('let',)]",[],[],3,"{('NNS', 'VBP'), ('DT', 'JJ'), ('JJ', 'NN')}",0.34,0
70,1,2,0,2,0,1,0,2,0,9,0,1,0,0,"[('guy',)]",[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN')}",0.6351,1
71,1,0,0,1,0,1,0,0,0,12,0,0,0,0,[],[],[],4,"{('NNS', 'VBP'), ('IN', 'NN'), ('NN', 'NN'), ('JJ', 'NNS')}",0.0,1
72,1,0,0,6,0,1,0,0,0,8,0,1,0,0,"[('hit',)]",[],[],2,"{('NNS', 'IN'), ('JJ', 'NNS')}",0.2263,1
73,1,1,0,2,4,4,0,2,0,18,0,4,0,0,"[('damn',), ('walk',), ('game',), ('kill',)]",[],[],8,"{('NNS', 'VBP'), ('PRP', 'VBP'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'DT'), ('IN', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",-0.9134,1
74,1,0,0,2,2,5,0,0,0,11,0,2,0,0,"[('help',), ('damn',)]",[],[],2,"{('NNS', 'VBP'), ('DT', 'JJ')}",-0.1531,1
75,1,2,0,3,0,3,0,2,0,24,0,5,1,0,"[('die',), ('be',), ('not',), ('game',), ('show',)]","[('be', 'not')]",[],5,"{('NNS', 'VBP'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'DT'), ('DT', 'JJ')}",-0.6114,1
76,1,0,0,5,0,3,0,3,0,27,0,5,1,0,"[('will',), ('sound',), ('not',), ('word',), ('went',)]","[('will', 'not')]",[],8,"{('NNS', 'VBP'), ('NNS', 'IN'), ('NN', 'IN'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",-0.296,0
77,1,2,0,4,0,4,0,1,0,26,0,2,0,0,"[('leav',), ('want',)]",[],[],8,"{('NNS', 'VBP'), ('NNS', 'IN'), ('NN', 'CC'), ('JJ', 'NN'), ('IN', 'NN'), ('DT', 'JJ'), ('NN', 'NN'), ('DT', 'NN')}",0.1491,0
78,1,1,0,1,0,1,0,0,0,10,0,3,1,0,"[('go',), ('got',), ('to',)]","[('got', 'to')]",[],3,"{('JJ', 'NN'), ('NN', 'NN'), ('DT', 'NN')}",0.4753,0
79,1,1,0,1,1,2,0,0,0,6,0,3,0,0,"[('need',), ('play',), ('great',)]",[],[],2,"{('NNS', 'VBP'), ('JJ', 'NN')}",0.7777,0
80,1,3,0,2,0,4,0,1,0,26,0,4,0,0,"[('time',), ('got',), ('home',), ('better',)]",[],[],5,"{('NNS', 'VBP'), ('PRP', 'VBP'), ('NN', 'CC'), ('JJ', 'NN'), ('TO', 'VB')}",0.783,1
81,1,0,0,0,0,1,0,0,0,6,0,1,0,0,"[('got',)]",[],[],2,"{('IN', 'DT'), ('DT', 'NN')}",-0.4215,0
82,1,3,0,0,0,4,0,1,0,11,0,2,0,0,"[('be',), ('game',)]",[],[],4,"{('NNS', 'VBP'), ('JJ', 'NN'), ('NN', 'NN'), ('NNS', 'IN')}",0.0,1
83,1,0,0,0,0,1,0,0,0,6,0,0,0,0,[],[],[],2,"{('NNS', 'VBP'), ('JJ', 'NN')}",-0.4939,1
84,1,0,0,1,0,0,0,0,0,11,0,1,0,0,"[('trash',)]",[],[],3,"{('DT', 'JJ'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,1
85,0,0,0,0,0,0,0,0,0,7,0,3,1,0,"[('job',), ('white',), ('trash',)]","[('white', 'trash')]",[],3,"{('NN', 'IN'), ('JJ', 'NN'), ('DT', 'NN')}",0.0,0
86,1,0,0,2,0,4,0,1,0,21,1,4,0,0,"[('away',), ('lmao',), ('teabagg',), ('talk',)]",[],[],4,"{('NN', 'NN'), ('JJ', 'NN'), ('TO', 'VB'), ('DT', 'NN')}",0.1531,0
87,1,0,0,1,1,2,0,0,0,16,0,2,0,0,"[('wish',), ('monkey',)]",[],[],0,set(),0.2263,1
88,1,0,1,0,0,3,0,1,0,12,0,1,0,0,"[('year',)]",[],[],4,"{('NNS', 'VBP'), ('IN', 'DT'), ('JJ', 'NN'), ('NN', 'NN')}",0.0,0
89,1,2,0,3,1,2,0,2,0,13,0,1,0,0,"[('need',)]",[],[],3,"{('DT', 'JJ'), ('PRP', 'VBP'), ('JJ', 'NNS')}",0.7256,0
90,1,1,0,0,1,0,0,1,0,11,0,0,0,0,[],[],[],0,set(),0.0,1
91,1,1,0,0,0,0,0,0,0,3,0,0,0,0,[],[],[],0,set(),0.0,1
92,0,0,0,1,0,0,0,0,0,8,0,1,0,0,"[('wetback',)]",[],[],0,set(),0.0,1
93,1,0,0,1,0,3,0,0,0,15,0,1,0,0,"[('monkey',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.0,1
94,1,0,0,1,0,2,0,0,0,11,0,1,0,0,"[('monkey',)]",[],[],2,"{('JJ', 'NN'), ('NN', 'NN')}",0.0,1
95,1,0,0,1,0,1,0,0,0,9,0,1,0,0,"[('monkey',)]",[],[],1,"{('JJ', 'NN')}",0.0,1
96,1,0,0,3,0,1,0,1,0,15,0,0,0,0,[],[],[],3,"{('JJ', 'NN'), ('NN', 'NN'), ('IN', 'NN')}",-0.25,1
97,1,0,0,0,0,1,0,1,0,8,0,2,0,0,"[('better',), ('ur',)]",[],[],2,"{('NNS', 'VBP'), ('JJ', 'NN')}",0.4404,0
98,1,0,0,1,0,0,0,0,0,12,0,0,0,0,[],[],[],1,"{('NN', 'NN')}",0.0,0
99,1,0,0,1,0,0,0,0,0,12,0,0,0,0,[],[],[],1,"{('NN', 'NN')}",0.0,0
100,1,0,0,1,0,0,0,0,0,16,0,0,0,0,[],[],[],3,"{('NNS', 'VBP'), ('JJ', 'NN'), ('JJ', 'NNS')}",0.3612,0
101,1,0,0,0,0,3,0,1,0,19,0,1,0,0,"[('rt',)]",[],[],3,"{('NN', 'IN'), ('JJ', 'NN'), ('DT', 'NN')}",0.0,1
102,1,0,0,2,0,1,0,0,0,9,0,2,0,0,"[('america',), ('redneck',)]",[],[],1,"{('NN', 'NN')}",0.0,0
103,1,1,0,0,0,1,0,0,0,7,0,1,0,0,"[('brown',)]",[],[],2,"{('NN', 'NN'), ('DT', 'NN')}",0.0,0
